status,stem,image_file,text_file
paired,122128446039113602,122128446039113602.jpg,122128446039113602.txt
paired,122131576653113602,122131576653113602.jpg,122131576653113602.txt
paired,122131576533113602,122131576533113602.jpg,122131576533113602.txt
paired,122130715791113602,122130715791113602.jpg,122130715791113602.txt
paired,122104615347113602,122104615347113602.jpg,122104615347113602.txt
paired,122134357329113602,122134357329113602.jpg,122134357329113602.txt
paired,122134357293113602,122134357293113602.jpg,122134357293113602.txt
paired,122137722369113602,122137722369113602.jpg,122137722369113602.txt
paired,122131380495113602,122131380495113602.jpg,122131380495113602.txt
paired,122124017937113602,122124017937113602.jpg,122124017937113602.txt
paired,122130926685113602,122130926685113602.jpg,122130926685113602.txt
paired,122130715809113602,122130715809113602.jpg,122130715809113602.txt
paired,122138187471113602,122138187471113602.jpg,122138187471113602.txt
paired,122136485979113602,122136485979113602.jpg,122136485979113602.txt
paired,122134357203113602,122134357203113602.jpg,122134357203113602.txt
paired,122135334255113602,122135334255113602.jpg,122135334255113602.txt
paired,122126981523113602,122126981523113602.jpg,122126981523113602.txt
paired,122098791063113602,122098791063113602.jpg,122098791063113602.txt
paired,122139298035113602,122139298035113602.jpg,122139298035113602.txt
paired,122135948259113602,122135948259113602.jpg,122135948259113602.txt
paired,122127430305113602,122127430305113602.jpg,122127430305113602.txt
paired,122112621525113602,122112621525113602.jpg,122112621525113602.txt
paired,122104615473113602,122104615473113602.jpg,122104615473113602.txt
paired,122119649661113602,122119649661113602.jpg,122119649661113602.txt
paired,122122638897113602,122122638897113602.jpg,122122638897113602.txt
paired,122127494181113602,122127494181113602.jpg,122127494181113602.txt
paired,122117266905113602,122117266905113602.jpg,122117266905113602.txt
paired,122119649775113602,122119649775113602.jpg,122119649775113602.txt
paired,122132375853113602,122132375853113602.jpg,122132375853113602.txt
paired,122132067603113602,122132067603113602.jpg,122132067603113602.txt
paired,122139042807113602,122139042807113602.jpg,122139042807113602.txt
paired,122135224473113602,122135224473113602.jpg,122135224473113602.txt
paired,122138695233113602,122138695233113602.jpg,122138695233113602.txt
paired,122128654701113602,122128654701113602.jpg,122128654701113602.txt
paired,122124809919113602,122124809919113602.jpg,122124809919113602.txt
paired,122136061221113602,122136061221113602.jpg,122136061221113602.txt
paired,122126114175113602,122126114175113602.jpg,122126114175113602.txt
paired,122124809961113602,122124809961113602.jpg,122124809961113602.txt
paired,122137517385113602,122137517385113602.jpg,122137517385113602.txt
paired,122135334279113602,122135334279113602.jpg,122135334279113602.txt
paired,122136704979113602,122136704979113602.jpg,122136704979113602.txt
paired,122130715965113602,122130715965113602.jpg,122130715965113602.txt
paired,122133132987113602,122133132987113602.jpg,122133132987113602.txt
paired,122130926625113602,122130926625113602.jpg,122130926625113602.txt
paired,122134626729113602,122134626729113602.jpg,122134626729113602.txt
paired,122135224503113602,122135224503113602.jpg,122135224503113602.txt
paired,122135134929113602,122135134929113602.jpg,122135134929113602.txt
paired,122110410111113602,122110410111113602.jpg,122110410111113602.txt
paired,122117266869113602,122117266869113602.jpg,122117266869113602.txt
paired,122128749465113602,122128749465113602.jpg,122128749465113602.txt
paired,122130926667113602,122130926667113602.jpg,122130926667113602.txt
paired,122127809673113602,122127809673113602.jpg,122127809673113602.txt
paired,122136352311113602,122136352311113602.jpg,122136352311113602.txt
paired,122130492459113602,122130492459113602.jpg,122130492459113602.txt
paired,122127634773113602,122127634773113602.jpg,122127634773113602.txt
paired,122135472723113602,122135472723113602.jpg,122135472723113602.txt
paired,122112170517113602,122112170517113602.jpg,122112170517113602.txt
paired,122133516501113602,122133516501113602.jpg,122133516501113602.txt
paired,122135948247113602,122135948247113602.jpg,122135948247113602.txt
paired,122107735929113602,122107735929113602.jpg,122107735929113602.txt
paired,122138187459113602,122138187459113602.jpg,122138187459113602.txt
paired,122132245701113602,122132245701113602.jpg,122132245701113602.txt
paired,122127634821113602,122127634821113602.jpg,122127634821113602.txt
paired,122137638309113602,122137638309113602.jpg,122137638309113602.txt
paired,122136061227113602,122136061227113602.jpg,122136061227113602.txt
paired,122126981439113602,122126981439113602.jpg,122126981439113602.txt
paired,122107000203113602,122107000203113602.jpg,122107000203113602.txt
paired,122117266953113602,122117266953113602.jpg,122117266953113602.txt
paired,122135224509113602,122135224509113602.jpg,122135224509113602.txt
paired,122138694027113602,122138694027113602.jpg,122138694027113602.txt
paired,122116912965113602,122116912965113602.jpg,122116912965113602.txt
paired,122136061233113602,122136061233113602.jpg,122136061233113602.txt
paired,122138693979113602,122138693979113602.jpg,122138693979113602.txt
paired,122111005803113602,122111005803113602.jpg,122111005803113602.txt
paired,122127946281113602,122127946281113602.jpg,122127946281113602.txt
paired,122136204573113602,122136204573113602.jpg,122136204573113602.txt
paired,122132704389113602,122132704389113602.jpg,122132704389113602.txt
paired,122131743039113602,122131743039113602.jpg,122131743039113602.txt
paired,122127634731113602,122127634731113602.jpg,122127634731113602.txt
paired,122119649739113602,122119649739113602.jpg,122119649739113602.txt
paired,122125177023113602,122125177023113602.jpg,122125177023113602.txt
paired,122127429783113602,122127429783113602.jpg,122127429783113602.txt
paired,122124017895113602,122124017895113602.jpg,122124017895113602.txt
paired,122135472729113602,122135472729113602.jpg,122135472729113602.txt
paired,122105928525113602,122105928525113602.jpg,122105928525113602.txt
paired,122133653475113602,122133653475113602.jpg,122133653475113602.txt
paired,122138187465113602,122138187465113602.jpg,122138187465113602.txt
paired,122131576587113602,122131576587113602.jpg,122131576587113602.txt
paired,122126114217113602,122126114217113602.jpg,122126114217113602.txt
paired,122136990015113602,122136990015113602.jpg,122136990015113602.txt
paired,122132245605113602,122132245605113602.jpg,122132245605113602.txt
paired,122112621597113602,122112621597113602.jpg,122112621597113602.txt
paired,122132245683113602,122132245683113602.jpg,122132245683113602.txt
paired,122111522571113602,122111522571113602.jpg,122111522571113602.txt
paired,122135224533113602,122135224533113602.jpg,122135224533113602.txt
paired,122114804007113602,122114804007113602.jpg,122114804007113602.txt
paired,122126441949113602,122126441949113602.jpg,122126441949113602.txt
paired,122132245731113602,122132245731113602.jpg,122132245731113602.txt
paired,122138187453113602,122138187453113602.jpg,122138187453113602.txt
paired,122128652283113602,122128652283113602.jpg,122128652283113602.txt
paired,122131578633113602,122131578633113602.jpg,122131578633113602.txt
paired,122136204579113602,122136204579113602.jpg,122136204579113602.txt
paired,122138376759113602,122138376759113602.jpg,122138376759113602.txt
paired,122116589529113602,122116589529113602.jpg,122116589529113602.txt
paired,122119649697113602,122119649697113602.jpg,122119649697113602.txt
paired,122136204567113602,122136204567113602.jpg,122136204567113602.txt
paired,122138694015113602,122138694015113602.jpg,122138694015113602.txt
paired,122130715881113602,122130715881113602.jpg,122130715881113602.txt
paired,122131576515113602,122131576515113602.jpg,122131576515113602.txt
paired,122118394929113602,122118394929113602.jpg,122118394929113602.txt
paired,122139189381113602,122139189381113602.jpg,122139189381113602.txt
paired,122134357275113602,122134357275113602.jpg,122134357275113602.txt
paired,122136487323113602,122136487323113602.jpg,122136487323113602.txt
paired,122112935127113602,122112935127113602.jpg,122112935127113602.txt
paired,122124017853113602,122124017853113602.jpg,122124017853113602.txt
paired,122134357251113602,122134357251113602.jpg,122134357251113602.txt
paired,122137138857113602,122137138857113602.jpg,122137138857113602.txt
paired,122131496835113602,122131496835113602.jpg,122131496835113602.txt
paired,122114804049113602,122114804049113602.jpg,122114804049113602.txt
paired,122114804121113602,122114804121113602.jpg,122114804121113602.txt
paired,122124292923113602,122124292923113602.jpg,122124292923113602.txt
paired,122126981559113602,122126981559113602.jpg,122126981559113602.txt
paired,122124809877113602,122124809877113602.jpg,122124809877113602.txt
paired,122136484353113602,122136484353113602.jpg,122136484353113602.txt
orphan_image,pink-bottle,pink-bottle.jpg,MISSING
orphan_image,green-bottle,green-bottle.jpg,MISSING
orphan_image,purple-bottle,purple-bottle.jpg,MISSING
